"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","Тест записи сессии без logoutTime","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingLogoutTime"
"","13","Тест получения общего времени активности без userId","","Tue Mar 25 10:58:40 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityWithMissingUserId"
"","162","testGetUserLastSessionDate_withNoSessions_shouldThrowException()","","Tue Mar 25 10:58:42 UTC 2025","passed","Tue Mar 25 10:58:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_withNoSessions_shouldThrowException"
"","7","testGetUserStatus_Active()","","Tue Mar 25 10:58:42 UTC 2025","passed","Tue Mar 25 10:58:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active"
"","26","Тест получения активности за месяц","","Tue Mar 25 10:58:40 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivity"
"","1","testGetUserStatus_HighlyActive()","","Tue Mar 25 10:58:42 UTC 2025","passed","Tue Mar 25 10:58:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive"
"","14","Тест получения неактивных пользователей с некорректным days","","Tue Mar 25 10:58:40 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWithIncorrectDays"
"","3","testGetUserLastSessionDate_withOneSession_shouldReturnSessionLogoutTimeDate()","","Tue Mar 25 10:58:42 UTC 2025","passed","Tue Mar 25 10:58:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_withOneSession_shouldReturnSessionLogoutTimeDate"
"","2","testGetUserStatus_InActive()","","Tue Mar 25 10:58:42 UTC 2025","passed","Tue Mar 25 10:58:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_InActive"
"","17","Тест регистрации пользователя без username","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWithMissingUserName"
"","16","Тест записи сессии без userId","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingUserId"
"","13","Тест получения неактивных пользователей без days","","Tue Mar 25 10:58:40 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWithMissingDays"
"","39","Тест получения общего времени активности","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity"
"","16","Тест записи сессии без loginTime","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingLoginTime"
"","16","Тест регистрации пользователя с данными существующего пользователя","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWhenUserAlreadyExists"
"","19","Тест записи сессии без logoutTime","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionUserNotFound"
"","505","Тест получения неактивных пользователей","","Tue Mar 25 10:58:40 UTC 2025","passed","Tue Mar 25 10:58:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsers"
"","20","Тест регистрации пользователя без userId","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWithMissingUserId"
"","2112","Тест регистрации пользователя","","Tue Mar 25 10:58:37 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","25","Тест записи сессии","","Tue Mar 25 10:58:39 UTC 2025","passed","Tue Mar 25 10:58:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
