"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","testGetUserLastSessionDate_withOneSession_shouldReturnSessionLogoutTimeDate()","","Tue Mar 25 06:04:42 UTC 2025","passed","Tue Mar 25 06:04:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_withOneSession_shouldReturnSessionLogoutTimeDate"
"","164","testGetUserLastSessionDate_withNoSessions_shouldThrowException()","","Tue Mar 25 06:04:41 UTC 2025","passed","Tue Mar 25 06:04:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate_withNoSessions_shouldThrowException"
"","15","Тест записи сессии без loginTime","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingLoginTime"
"","14","Тест получения неактивных пользователей без days","","Tue Mar 25 06:04:40 UTC 2025","passed","Tue Mar 25 06:04:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWithMissingDays"
"","25","Тест получения активности за месяц","","Tue Mar 25 06:04:40 UTC 2025","passed","Tue Mar 25 06:04:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivity"
"","13","Тест записи сессии без logoutTime","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingLogoutTime"
"","2388","Тест регистрации пользователя","","Tue Mar 25 06:04:37 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration"
"","7","testGetUserStatus_Active()","","Tue Mar 25 06:04:42 UTC 2025","passed","Tue Mar 25 06:04:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active"
"","17","Тест записи сессии","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession"
"","19","Тест регистрации пользователя без userId","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWithMissingUserId"
"","15","Тест регистрации пользователя без username","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWithMissingUserName"
"","2","testGetUserStatus_HighlyActive()","","Tue Mar 25 06:04:42 UTC 2025","passed","Tue Mar 25 06:04:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive"
"","15","Тест записи сессии без userId","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionWithMissingUserId"
"","16","Тест записи сессии без logoutTime","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionUserNotFound"
"","1","testGetUserStatus_InActive()","","Tue Mar 25 06:04:42 UTC 2025","passed","Tue Mar 25 06:04:42 UTC 2025","","org.itmo.testing.lab2.service.UserStatusServiceTest","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_InActive"
"","526","Тест получения неактивных пользователей","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsers"
"","36","Тест получения общего времени активности","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity"
"","12","Тест получения неактивных пользователей с некорректным days","","Tue Mar 25 06:04:40 UTC 2025","passed","Tue Mar 25 06:04:40 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWithIncorrectDays"
"","12","Тест получения общего времени активности без userId","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityWithMissingUserId"
"","15","Тест регистрации пользователя с данными существующего пользователя","","Tue Mar 25 06:04:39 UTC 2025","passed","Tue Mar 25 06:04:39 UTC 2025","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistrationWhenUserAlreadyExists"
